Model	Item	Part No.	Alternate No.	Part Description (TCLNA)	Price
TAC-08CPA/HA	6	1175032001B		Step motor	$21.60
TAC-08CPA/HA	9	810900379		Display board	$41.80
TAC-08CPA/HA	12	8090950003B		Receiver board	$14.88
TAC-08CPA/HA	18	1170100044		Fan motor capacitor	$5.68
TAC-08CPA/HA	23	1175032007		Sensor resistance	$8.04
TAC-08CPA/HA	45	8070032005		Casters	$3.24
TAC-08CPA/HA	47	810700027		Stopper	$1.54
TAC-08CPA/HA	53	810700491		Filter of evaporator	$5.36
TAC-08CPA/HA	56	214106113A		Cover of drainage hose	$0.40
TAC-08CPA/HA	57	210703297		Seal	$2.00
TAC-08CPA/HA	58	210703134		Fixer of drainage cover	$2.75
TAC-08CPA/HA	59	8120120025A		Exhaust Hose	$9.00
TAC-08CPA/HA	60	810700396		Hose inlet	$4.26
TAC-08CPA/HA	61	810700693		Window slider	$14.54
TAC-08CPA/HA	62	810700345A		Hose outlet	$4.75
TAC-08CPA/HA	64	810900417B		Remote controller	$12.87
TAC-10CPA/HA	23	1175032007		Sensor resistance	$8.04
TAC-10CPA/HA	45	8070032005		Casters	$3.24
TAC-10CPA/HA	47	810700027		Stopper	$1.54
TAC-10CPA/HA	53	810700491		Filter of evaporator	$5.36
TAC-10CPA/HA	56	214106113A		Cover of drainage hose	$0.40
TAC-10CPA/HA	57	210703297		Seal	$2.00
TAC-10CPA/HA	58	210703134		Fixer of drainage cover	$2.75
TAC-10CPA/HA	59	8120120025A		Exhaust Hose	$9.00
TAC-10CPA/HA	60	810700396		Hose inlet	$4.26
TAC-10CPA/HA	61	810700693		Window slider	$14.54
TAC-10CPA/HA	62	810700345A		Hose outlet	$4.75
TAC-10CPA/HA	64	810900417B		Remote controller	$12.87
TAC-12CPA/HA		210703297	41214-001058	Gasket of Cap	$2.00
TAC-12CPA/HA		810701160		caster, set of four	$3.92
TAC-12CPA/HA		810900379		Display board	$41.80
TAC-12CPA/HA		210703134		Drain Cap Tether	$2.75
TAC-12CPA/HA		810701052B		Drain Hose Cap	$0.85
TAC-12CPA/HA		1075032001A		Exhaust Hose	$9.00
TAC-12CPA/HA		1170100044		Fan motor capacitor	$5.68
TAC-12CPA/HA		810700491		Filter	$5.36
TAC-12CPA/HA		810701089		Hose inlet	$3.60
TAC-12CPA/HA		810700027		Lower drain plug	$1.54
TAC-12CPA/HA		8090950003B		Receiver board	$14.88
TAC-12CPA/HA		810900417B		Remote controller	$12.87
TAC-12CPA/HA		1175032007		Sensor resistance	$8.04
TAC-12CPA/HA		1175032001B		Step motor	$21.60
TAC-12CPA/HA		810700693		Window slider,  Circle 5"	$14.54
TAW15CRE19	1.4	210736555	42008-000062	Air Filter	$7.50
TAW15CRE19	8	210736566		Filler Panels Left Rail	$5.16
TAW15CRE19	9	210736743		Filler Panels	$6.24
TAW15CRE19	10	210826835		Top mounting Rail	$8.70
TAW15CRE19	11	210736744		Filler Panels plug	$2.00
TAW15CRE19	19	210901458		Fan Motor	$78.36
TAW15CRE19	28.3	210901411C		Main pcb	$37.48
TAW15CRE19	28.8	210901461		Display PCB	$18.05
TAW15CRE19	29	210901457C		Remote Controller	$7.96
TAW15CRE19	30	210901453A	22007-000069	Power Supply Cord	$38.04
TAW15CRE19	31.1	214148430		Screw  assembly	$4.00
TAW15CRE19	31.2	210736744		Filler Panels plug	$2.00
TAW15CRE19	31.3	210826659		Support Bracket(Left)	$13.68
TAW15CRE19	31.4	210826660		Support Bracket(Right)	$13.68
TAW15CRE19	31.5	210737020		Window Sash seal	$3.00
TAW15CRE19	31.6	210737051		Foam Top window Gasket	$2.00
TAW15CRE19	31.7	210737551		Insulation strip sponge	$6.40
TAW15CRE19	36	210901539		Sensor Assembly	$6.96
TAW15CRE19	48153	1193070510	A2004-000143	screw bag	$4.00
TAW15CRE19	48154	210826603		Sash lock	$2.00
TAW15CRE19	48155	210826661		Sill Angel Bracket	$3.28
TAW15CRE19	48158	211800128		Gasket	$0.50
20D1		210703297 	41214-001058	Seal	$2.00
20D1		81072000026E		Bucket	$18.58
20D1		210702984		caster, set of four	$3.68
20D1		810700425		Centrifugal fan	$10.00
20D1		81072000027C		Cover of water bucket	$4.41
20D1		810701310A		Drain Hose Cap	$0.60
20D1		210900358		Fan motor	$32.42
20D1		81072000034A		Filter	$10.24
20D1		210703134		Fixer of drainage cover	$2.75
20D1		81071800055D		Float	$2.96
20D1		810700424		Foam of float	$1.00
20D1		81072000035D		Frame	$7.00
20D1		810900236A		Humidity sensor	$15.76
20D1		810900307		Micro-switch	$5.60
20D1		210900346D		Power cord	$17.08
20D1		210703162		Sensor fixer	$2.00
20D1		210900480B		Sensor resistance	$8.00
30D91	1	81072000026E		Water tank assembly	$18.58
30D91	10	810700425		Centrifugal fan	$10.00
30D91	11	210900358		Fan motor	$32.42
30D91	17	210703162		Sensor fixer	$2.00
30D91	18	810900236A		Humidity sensor	$15.76
30D91	20	81072000034A		Filter 	$10.24
30D91	20	81072000035D		Filter fixer	$7.00
30D91	21	810701299A		Cover of drainage hose subassembly	$1.30
30D91	24	1170100044		Fan motor capacitor	$5.68
30D91	26	810900307		Micro-switch	$5.60
30D91	31	210900480B		Sensor resistance	$8.00
30D91	33	210900346D		Power cord	$17.08
30D91	39	210702984		caster, set of four	$3.68
40D91	12	81071800032C		Filter frame	$5.00
40D91	13	81071800033B		Filter	$13.36
40D91	14	810701299A		Drain Cap	$1.30
40D91	19	210900346D		Power cord	$17.08
40D91	23	210703162		Sensor fixer	$2.00
40D91	24	810900236A		Humidity sensor	$15.76
40D91	25	210900480B		Sensor resistance	$8.00
40D91	27	810900307		Micro-switch	$5.60
40D91	33	210702984		caster, set of four	$3.68
40D91	38	814100384D		Water tank 	$20.68
50D1		210703297	41214-001058	Seal	$2.00
50D1		810800096 		Air outlet grill	$9.44
50D1		81071800022C		Bucket	$19.72
50D1		210702984 		caster, set of four	$3.68
50D1		810700435A		Centrifugal fan	$10.00
50D1		81071800029B		Cover of water bucket	$1.00
50D1		810701310A		Drain Hose Cap	$0.60
50D1		81071800033B		Filter	$13.36
50D1		81071800032C		Filter frame	$5.00
50D1		210703134		Fixer of drainage cover	$2.75
50D1		81071800027C		Float	$2.32
50D1		810700424 		Foam of float	$1.00
50D1		81071800026B		Handle of tank	$1.84
50D1		810900236A		Humidity sensor	$15.76
50D1		810900307 		Micro-switch	$5.60
50D1		210900346D		Power cord	$17.08
50D1		210703162 		Sensor fixer	$2.00
50D1		210900480B		Sensor resistance	$8.00
50D91	12	81071800032C		Filter frame	$5.00
50D91	13	81071800033B		Filter	$13.36
50D91	14	810701299A		Drain Cap	$1.30
50D91	19	210900346D		Power cord	$17.08
50D91	23	210703162		Sensor fixer	$2.00
50D91	24	810900236A		Humidity sensor	$15.76
50D91	25	210900480B		Sensor resistance	$8.00
50D91	27	810900307		Micro-switch	$5.60
50D91	33	210702984		caster, set of four	$3.68
50D91	38	814100384D		Bucket, White	$20.68
50D91-B	12	81071800032D		Filter frame	$7.00
50D91-B	13	81071800033C		Filter	$4.16
50D91-B	14	810701299C		Drain Cap	$1.30
50D91-B	23	210703162		Sensor fixer	$2.00
50D91-B	24	810900236A		Humidity sensor	$15.76
50D91-B	25	210900480B		Sensor resistance	$8.00
50D91-B	27	810900307		Micro-switch	$5.60
50D91-B	33	210702984		caster, set of four	$3.68
50D91-B	38	814100384E		Bucket, Black	$20.68
50DP1		22015-000016	210900349 	Pump	$16.00
50DP1		210703297	41214-001058	Seal	$2.00
50DP1		810800096 		Air outlet grill	$9.44
50DP1		81071800022C		Bucket	$19.72
50DP1		210702984 		caster, set of four	$3.68
50DP1		810700435A		Centrifugal fan	$10.00
50DP1		81071800029B		Cover of water bucket	$1.00
50DP1		810701310A		Drain Hose Cap	$0.60
50DP1		810700291 		Drain Tube 16'	$6.00
50DP1		210702989 		Drainage of pump	$2.50
50DP1		81071800033B		Filter	$13.36
50DP1		81071800032C		Filter frame	$5.00
50DP1		210703200 		Filter of pump	$2.85
50DP1		210703134		Fixer of drainage cover	$2.75
50DP1		81071800027C		Float	$2.32
50DP1		810700424 		Foam of float	$1.00
50DP1		81071800026B		Handle of tank	$1.84
50DP1		810900236A		Humidity sensor	$15.76
50DP1		810900307 		Micro-switch	$5.60
50DP1		210900346D		Power cord	$17.08
50DP1		210703162 		Sensor fixer	$2.00
50DP1		210900480B		Sensor resistance	$8.00
50DP1		210703296F	41214-001000	Drain Hose Adapter	$3.30
DEA20ES		210703297	41214-001058	Gasket	$2.00
DEA20ES		210702984		caster, set of four	$3.68
DEA20ES		810700425		Centrifugal fan	$10.00
DEA20ES		81072000027C		Cover of water bucket	$4.41
DEA20ES		210703134		Drain Cap Tether	$2.75
DEA20ES		810701310A		Drain hose Cap	$0.60
DEA20ES		210900358		Fan motor	$32.42
DEA20ES		81072000034A		Filter	$10.24
DEA20ES		81071800055D		Float	$2.96
